#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-04T15:26:52 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-04T15:26:52	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/152/157/table1&-out.max=unlimited&-out=Name,_RA,_DE,Dist,i,Qual,Vflat,L3.6,Rdisk,SBdisk,MHI	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520157
#Name: J/AJ/152/157
#Title: Mass models for 175 disk galaxies with SPARC (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..157L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_157_table1:
#Name: J/AJ/152/157/table1
#Title: *Galaxy sample
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	_RA	(F9.5)	Position from SIMBAD database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from SIMBAD database (declination part)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(F6.2)	[0.98/127.8] Assumed distance	[ucd=pos.distance;pos.heliocentric]
#Column	i	(F4.1)	[15/90] Assumed inclination angle (3)	[ucd=src.orbital.inclination;pos.posAng]
#Column	Qual	(I3)	[1/3] Rotation-curve quality flag (1=high, 2=medium, or 3=low) (6)	[ucd=meta.code.qual]
#Column	Vflat	(F5.1)	[0/332] Asymptotically velocity along the flat part of the rotation curve (V_f_) (5)	[ucd=phys.veloc]
#Column	L3.6	(F7.3)	[0/490] Total luminosity at 3.6{mu}m (L_[3.6]_)	[ucd=phys.luminosity;em.IR]
#Column	Rdisk	(F5.2)	[0.18/18.8] The 3.6{mu}m scale length of the stellar disk (R_d_)	[ucd=src.morph.scLength]
#Column	SBdisk	(F8.2)	[12/23813.9] Extrapolated 3.6{mu}m central surface brightness of the stellar disk ({Sigma}_d_)	[ucd=phot.mag.sb]
#Column	MHI	(F7.3)	[0.01/40.1] Total HI mass (M_HI_)	[ucd=phys.mass]
Name	_RA	_DE	Dist	i	Qual	Vflat	L3.6	Rdisk	SBdisk	MHI
F579-V1    	218.20042	+22.76611	 89.50	26.0	  1	112.1	 11.848	 3.37	  201.76	  2.245
F583-1     	239.36451	+20.66642	 35.40	63.0	  1	 85.8	  0.986	 2.36	   60.93	  2.126
F583-4     	238.05000	+18.78500	 53.30	55.0	  1	  0.0	  1.715	 1.93	   83.34	  0.641
IC2574     	157.09784	+68.41214	  3.91	75.0	  2	 66.4	  1.016	 2.78	   80.32	  1.036
IC4202     	197.13159	+24.70083	100.40	90.0	  1	242.6	179.749	 4.78	 8888.53	 12.326
KK98-251   	307.63708	+60.35472	  6.80	59.0	  2	 33.7	  0.085	 1.34	   52.10	  0.115
NGC0024    	002.48559	-24.96313	  7.30	64.0	  1	106.3	  3.889	 1.34	 1182.58	  0.676
NGC0055    	003.72334	-39.19663	  2.11	77.0	  2	 85.6	  4.628	 6.11	  391.59	  1.565
NGC0100    	006.01182	+16.48639	 13.50	89.0	  1	 88.1	  3.232	 1.66	 1193.52	  1.990
NGC0247    	011.78564	-20.76040	  3.70	74.0	  2	104.9	  7.332	 3.74	  506.79	  1.746
NGC0289    	013.17652	-31.20583	 20.80	46.0	  2	163.0	 72.065	 6.74	   69.96	 27.469
NGC0300    	013.72283	-37.68438	  2.08	42.0	  2	 93.3	  2.922	 1.75	  437.35	  0.936
NGC0801    	030.93687	+38.25867	 80.70	80.0	  1	220.1	312.570	 8.72	 1558.94	 23.201
NGC0891    	035.63711	+42.34832	  9.91	90.0	  1	216.1	138.340	 2.55	 5067.92	  4.462
NGC1003    	039.82039	+40.87229	 11.40	67.0	  1	109.8	  6.820	 1.61	 1345.33	  5.880
NGC1090    	041.64132	-00.24704	 37.00	64.0	  1	164.4	 72.045	 3.53	 2055.09	  8.783
NGC1705    	073.55625	-53.36106	  5.73	80.0	  3	 71.9	  0.533	 0.39	  587.26	  0.139
NGC2366    	112.21604	+69.20864	  3.27	68.0	  3	 50.2	  0.236	 0.65	  113.98	  0.647
NGC2403    	114.21415	+65.60255	  3.16	63.0	  1	131.2	 10.041	 1.39	 1408.74	  3.199
NGC2683    	133.17227	+33.42180	  9.81	80.0	  2	154.0	 80.415	 2.18	10205.40	  1.406
NGC2841    	140.51106	+50.97648	 14.10	76.0	  1	284.8	188.121	 3.64	 4751.49	  9.775
NGC2903    	143.04213	+21.50083	  6.60	66.0	  1	184.6	 81.863	 2.33	 1193.52	  2.552
NGC2915    	141.54805	-76.62632	  4.06	56.0	  2	 83.5	  0.641	 0.55	  313.93	  0.508
NGC2955    	145.31917	+35.88212	 97.90	56.0	  1	  0.0	319.422	18.76	   50.68	 28.949
NGC2976    	146.81441	+67.91638	  3.58	61.0	  2	 85.4	  3.371	 1.01	 1502.55	  0.172
NGC2998    	147.18179	+44.08129	 68.10	58.0	  1	209.9	150.902	 6.20	  774.16	 23.451
NGC3109    	150.77865	-26.15957	  1.33	70.0	  1	 66.2	  0.194	 1.56	  140.87	  0.477
NGC3198    	154.97912	+45.54969	 13.80	73.0	  1	150.1	 38.279	 3.14	 1602.62	 10.869
NGC3521    	166.45247	-00.03590	  7.70	75.0	  1	213.7	 84.836	 2.40	 2112.66	  4.154
NGC3726    	173.33822	+47.02909	 18.00	53.0	  2	168.0	 70.234	 3.40	 1789.91	  6.473
NGC3741    	174.02397	+45.28415	  3.21	70.0	  1	 50.1	  0.028	 0.20	  143.49	  0.182
NGC3769    	174.43377	+47.89309	 18.00	70.0	  2	118.6	 18.679	 3.38	  160.26	  5.529
NGC3877    	176.53242	+47.49450	 18.00	76.0	  2	168.4	 72.535	 2.53	 3410.59	  1.483
NGC3893    	177.15920	+48.71079	 18.00	49.0	  1	174.0	 58.525	 2.38	 2055.09	  5.799
NGC3917    	177.68953	+51.82421	 18.00	79.0	  1	135.9	 21.966	 2.63	 1226.96	  1.888
NGC3949    	178.42395	+47.85878	 18.00	55.0	  2	163.0	 38.067	 3.59	  185.71	  3.371
NGC3953    	178.45428	+52.32654	 18.00	62.0	  1	220.8	141.301	 4.89	 1999.08	  2.832
NGC3972    	178.93799	+55.32067	 18.00	77.0	  1	132.7	 14.353	 2.18	 1587.93	  1.214
NGC3992    	179.39993	+53.37452	 23.70	56.0	  1	241.0	226.932	 4.96	 3257.09	 16.599
NGC4010    	179.65830	+47.26131	 18.00	89.0	  2	125.8	 17.193	 2.81	 2611.14	  2.832
NGC4013    	179.63090	+43.94702	 18.00	89.0	  2	172.9	 79.094	 3.53	10205.40	  2.967
NGC4051    	180.79036	+44.53126	 18.00	49.0	  2	157.0	 95.268	 4.65	 1320.78	  2.697
NGC4068    	181.01360	+52.59057	  4.37	44.0	  2	  0.0	  0.236	 0.59	  261.11	  0.154
NGC4085    	181.34460	+50.35275	 18.00	82.0	  2	131.5	 21.724	 1.65	 5021.46	  1.349
NGC4088    	181.39245	+50.53903	 18.00	69.0	  1	171.7	107.286	 2.58	 3988.69	  8.226
NGC4100    	181.53584	+49.58231	 18.00	73.0	  1	158.2	 59.394	 2.15	 8970.78	  3.102
NGC4138    	182.37412	+43.68532	 18.00	53.0	  2	147.3	 44.111	 1.51	 3952.12	  1.483
NGC4157    	182.76819	+50.48468	 18.00	82.0	  1	184.7	105.620	 2.32	23813.87	  8.226
NGC4183    	183.32025	+43.69827	 18.00	82.0	  1	110.6	 10.838	 2.79	 1098.58	  3.506
NGC4214    	183.91322	+36.32689	  2.87	15.0	  2	 80.1	  1.141	 0.51	 1308.67	  0.486
NGC4217    	183.96208	+47.09179	 18.00	86.0	  1	181.3	 85.299	 2.94	 4373.51	  2.562
NGC4389    	186.39624	+45.68467	 18.00	50.0	  3	  0.0	 21.328	 2.79	  322.72	  0.539
NGC4559    	188.99037	+27.95976	  9.00	67.0	  1	121.2	 19.377	 2.10	 1602.62	  5.811
NGC5005    	197.73463	+37.05894	 16.90	68.0	  1	262.2	178.720	 9.45	   96.57	  1.280
NGC5033    	198.36473	+36.59365	 15.70	66.0	  1	194.2	110.509	 5.16	  614.94	 11.314
NGC5055    	198.95554	+42.02929	  9.90	55.0	  1	179.0	152.922	 3.20	 3348.34	 11.722
NGC5371    	208.91676	+40.46177	 39.70	53.0	  1	209.5	340.393	 7.44	 1395.82	 11.180
NGC5585    	214.95085	+56.72905	  7.06	51.0	  1	 90.3	  2.943	 1.53	  297.05	  1.683
NGC5907    	228.97370	+56.32885	 17.30	88.0	  1	215.0	175.425	 5.34	 8646.29	 21.025
NGC5985    	234.90454	+59.33195	 39.70	60.0	  1	293.6	208.728	 7.01	 1461.61	 11.586
NGC6015    	237.85513	+62.31003	 17.00	60.0	  2	154.1	 32.129	 2.30	 1926.77	  5.834
NGC6195    	249.13555	+39.02800	127.80	62.0	  1	251.7	391.076	13.94	  174.11	 20.907
NGC6503    	267.36047	+70.14434	  6.26	74.0	  1	116.3	 12.845	 2.16	  398.87	  1.744
NGC6674    	279.64120	+25.37511	 51.20	54.0	  1	241.3	214.654	 6.04	 1370.35	 32.165
NGC6789    	289.17154	+63.97331	  3.52	43.0	  2	  0.0	  0.100	 0.31	  319.76	  0.017
NGC6946    	308.71805	+60.15368	  5.52	38.0	  1	158.9	 66.173	 2.44	 2232.70	  5.670
NGC7331    	339.26709	+34.41592	 14.70	75.0	  1	239.0	250.631	 5.02	 1806.47	 11.067
NGC7793    	359.45761	-32.59103	  3.61	47.0	  1	  0.0	  7.050	 1.21	 1068.64	  0.861
NGC7814    	000.81228	+16.14523	 14.40	90.0	  1	218.9	 74.529	 2.54	 2635.30	  1.070
PGC51017   	214.25733	+43.50372	 13.60	66.0	  3	 18.6	  0.155	 0.53	   93.94	  0.201
UGC00128   	003.46221	+35.99350	 64.50	57.0	  1	129.3	 12.020	 5.95	   88.89	  7.431
UGC00191   	005.02150	+10.87931	 17.10	45.0	  1	  0.0	  2.004	 1.58	  207.41	  1.343
UGC00634   	015.35488	+07.62599	 30.90	37.0	  2	  0.0	  2.989	 2.45	  126.13	  3.663
UGC00731   	017.68333	+49.60219	 12.50	57.0	  1	 73.3	  0.323	 2.30	   82.57	  1.807
UGC00891   	020.32954	+12.41172	 10.20	60.0	  2	  0.0	  0.374	 1.43	  113.98	  0.428
UGC01230   	026.38438	+25.52147	 53.70	22.0	  1	103.7	  7.620	 4.34	   69.32	  6.430
UGC01281   	027.38212	+32.58783	  5.27	90.0	  1	 55.2	  0.353	 1.63	  135.78	  0.294
UGC02023   	038.32550	+33.49042	 10.40	19.0	  2	  0.0	  1.308	 1.55	  121.57	  0.477
UGC02259   	041.98082	+37.53844	 10.50	41.0	  2	 86.2	  1.725	 1.62	  172.52	  0.494
UGC02455   	044.92849	+25.24119	  6.92	51.0	  3	  0.0	  3.649	 0.99	  795.85	  0.803
UGC02487   	045.42649	+35.20565	 69.10	36.0	  1	332.0	489.955	 7.89	 1150.35	 17.963
UGC02885   	058.26017	+35.58947	 80.60	64.0	  1	289.5	403.525	11.40	  470.79	 40.075
UGC02916   	060.64098	+71.70592	 65.40	50.0	  2	182.7	124.153	 6.15	  520.99	 23.273
UGC02953   	061.94545	+69.81243	 16.50	50.0	  2	264.9	259.518	 3.55	 4215.31	  7.678
UGC03205   	074.06173	+30.05219	 50.00	67.0	  1	219.6	113.642	 3.19	 3915.89	  9.677
UGC03546   	102.53610	+60.84569	 28.70	55.0	  1	196.9	101.336	 3.79	  922.21	  2.675
UGC03580   	103.87864	+69.56300	 20.70	63.0	  2	126.2	 13.266	 2.43	  302.57	  4.370
UGC04278   	123.49545	+45.74215	  9.51	90.0	  1	 91.4	  1.307	 2.21	  377.42	  1.116
UGC04305   	124.77074	+70.72003	  3.45	40.0	  3	 34.5	  0.736	 1.16	   88.07	  0.690
UGC04325   	124.83554	+50.00961	  9.60	41.0	  1	 90.9	  2.026	 1.86	  213.22	  0.678
UGC04483   	129.26371	+69.77478	  3.34	58.0	  2	  0.0	  0.013	 0.18	   82.57	  0.032
UGC04499   	129.42287	+51.65238	 12.50	50.0	  1	 72.8	  1.552	 1.73	  127.30	  1.100
UGC05005   	141.12245	+22.27482	 53.70	41.0	  1	 98.9	  4.100	 3.20	   65.59	  3.093
UGC05253   	147.59264	+72.27865	 22.90	37.0	  2	213.7	171.582	 8.07	  189.16	 16.396
UGC05414   	150.98827	+40.76151	  9.40	55.0	  1	  0.0	  1.123	 1.47	  127.30	  0.574
UGC05716   	157.93028	+25.30761	 21.30	54.0	  2	 73.1	  0.588	 1.14	   90.54	  1.094
UGC05721   	158.07200	+27.66877	  6.18	61.0	  1	 79.7	  0.531	 0.38	  913.76	  0.562
UGC05750   	158.93796	+20.99019	 58.70	64.0	  1	  0.0	  3.336	 3.46	  124.98	  1.099
UGC05764   	159.17976	+31.54726	  7.47	60.0	  2	  0.0	  0.085	 1.17	   33.79	  0.163
UGC05829   	160.67828	+34.44928	  8.64	34.0	  2	  0.0	  0.564	 1.99	   63.22	  1.023
UGC05918   	162.40172	+65.53363	  7.66	46.0	  2	  0.0	  0.233	 1.66	   24.94	  0.297
UGC05986   	163.12972	+36.61878	  8.63	90.0	  2	113.0	  4.695	 1.67	 1725.16	  2.667
UGC05999   	163.24438	+07.61980	 47.70	22.0	  2	  0.0	  3.384	 3.22	   51.62	  2.022
UGC06399   	170.84677	+50.89268	 18.00	75.0	  1	 85.0	  2.296	 2.05	  311.05	  0.674
UGC06446   	171.66854	+53.74667	 12.00	51.0	  1	 82.2	  0.988	 1.49	   86.46	  1.379
UGC06614   	174.81185	+17.14358	 88.70	36.0	  1	199.8	124.350	 5.10	  540.54	 21.888
UGC06628   	175.02392	+45.94216	 15.10	20.0	  2	 41.8	  3.739	 2.82	  103.00	  1.500
UGC06667   	175.60962	+51.59801	 18.00	89.0	  1	 83.8	  1.397	 5.15	  614.94	  0.809
UGC06786   	177.28931	+27.02207	 29.30	64.0	  1	219.4	 73.407	 3.60	 1078.52	  5.030
UGC06787   	177.31404	+56.08435	 21.30	66.0	  2	248.1	 98.256	 5.37	  429.37	  5.030
UGC06818   	177.69564	+45.80720	 18.00	75.0	  2	 71.2	  1.588	 1.39	  286.31	  1.079
UGC06917   	179.11989	+50.42839	 18.00	56.0	  1	108.7	  6.832	 2.76	  261.11	  2.023
UGC06923   	179.20636	+53.16034	 18.00	65.0	  2	 79.6	  2.890	 1.44	  347.40	  0.809
UGC06930   	179.32248	+49.28325	 18.00	32.0	  1	107.2	  8.932	 3.94	  189.16	  3.237
UGC06973   	179.71760	+42.72240	 18.00	71.0	  3	174.2	 53.870	 1.07	12730.05	  1.753
UGC06983   	179.78639	+52.70779	 18.00	49.0	  1	109.0	  5.298	 3.21	  121.57	  2.967
UGC07089   	181.49061	+43.14336	 18.00	80.0	  2	  0.0	  3.585	 2.26	  520.99	  1.214
UGC07125   	182.17297	+36.80230	 19.80	90.0	  1	 65.2	  2.712	 3.38	  103.00	  4.629
UGC07151   	182.49417	+46.45718	  6.87	90.0	  1	 73.5	  2.284	 1.25	  965.67	  0.616
UGC07232   	183.43399	+36.63127	  2.83	59.0	  2	  0.0	  0.113	 0.29	  227.42	  0.046
UGC07261   	183.80983	+20.65908	 13.10	30.0	  2	 74.7	  1.753	 1.20	  566.02	  1.388
UGC07323   	184.37572	+45.61929	  8.00	47.0	  1	  0.0	  4.109	 2.26	  283.68	  0.722
UGC07399   	185.15883	+46.29102	  8.43	55.0	  1	103.0	  1.156	 1.64	  135.78	  0.745
UGC07524   	186.45384	+33.54675	  4.74	46.0	  1	 79.5	  2.436	 3.46	  106.86	  1.779
UGC07559   	186.77319	+37.14177	  4.97	61.0	  2	  0.0	  0.109	 0.58	   55.06	  0.169
UGC07577   	186.92453	+43.49947	  2.59	63.0	  2	  0.0	  0.045	 0.90	   54.55	  0.044
UGC07603   	187.18380	+22.82044	  4.70	78.0	  1	 61.6	  0.376	 0.53	  520.99	  0.258
UGC07608   	187.18366	+43.22383	  8.21	25.0	  1	  0.0	  0.264	 1.50	   46.65	  0.535
UGC07690   	188.11206	+42.70412	  8.11	41.0	  2	 57.4	  0.858	 0.57	  395.21	  0.390
UGC07866   	190.56315	+38.50163	  4.57	44.0	  2	  0.0	  0.124	 0.61	   97.46	  0.118
UGC08286   	198.04916	+44.03802	  6.50	90.0	  1	 82.4	  1.255	 1.05	 1488.78	  0.642
UGC08490   	202.40212	+58.41873	  4.65	50.0	  1	 78.6	  1.017	 0.67	  576.54	  0.720
UGC08550   	203.51180	+47.91547	  6.70	90.0	  1	 56.9	  0.289	 0.45	 1284.78	  0.288
UGC08699   	206.28612	+41.50330	 39.30	73.0	  2	182.4	 50.302	 3.09	 1370.35	  3.738
UGC08837   	208.69001	+53.90557	  7.21	80.0	  2	  0.0	  0.501	 1.72	   77.42	  0.320
UGC09037   	212.12127	+07.05800	 83.60	65.0	  2	152.3	 68.614	 4.28	  841.07	 19.078
UGC09133   	214.03213	+35.34372	 57.10	53.0	  1	226.8	282.926	 6.97	  864.63	 33.428
UGC09992   	235.45004	+67.25389	 10.70	30.0	  2	 33.6	  0.336	 1.04	   73.25	  0.318
UGC10310   	244.07459	+47.04532	 15.20	34.0	  1	 71.4	  1.741	 1.80	  158.79	  1.196
UGC11455   	292.48440	+72.11282	 78.60	90.0	  1	269.4	374.322	 5.93	 9568.20	 13.335
UGC11557   	306.00286	+60.19484	 24.20	30.0	  2	  0.0	 12.101	 2.75	  337.93	  2.605
UGC11820   	327.36933	+14.23094	 18.10	45.0	  1	  0.0	  0.970	 2.08	   34.11	  1.977
UGC11914   	331.96820	+31.35926	 16.90	31.0	  1	288.1	150.028	 2.44	 3168.33	  0.888
UGC12506   	349.87698	+16.07479	100.60	86.0	  2	234.0	139.571	 7.38	 5608.28	 35.556
UGC12632   	352.49492	+40.99033	  9.77	46.0	  1	 71.7	  1.301	 2.42	   66.81	  1.744
UGC12732   	355.16650	+26.23606	 13.20	39.0	  1	  0.0	  1.667	 1.98	  120.46	  3.660
UGCA281    	186.56675	+48.49350	  5.68	67.0	  3	  0.0	  0.194	 1.72	   12.05	  0.062
UGCA442    	355.93979	-31.95677	  4.35	64.0	  1	 56.4	  0.140	 1.18	  116.10	  0.263
UGCA444    	000.49125	-15.46389	  0.98	78.0	  2	 37.0	  0.012	 0.83	   22.74	  0.067

