#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-04T15:26:24 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-04T15:26:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/199/26/table3&-out.max=unlimited&-out=RAJ2000,DEJ2000,Ktmag,cz,GLON,GLAT	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21990026
#Name: J/ApJS/199/26
#Title: The 2MASS Redshift Survey (2MRS) (Huchra+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/apjs/199/26	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/199/26	    IVOID of underlying data collection
#INFO	creator=Huchra J.P.	    First author or institution
#INFO	cites=bibcode:2012ApJS..199...26H	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/199/26	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21990026	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_199_26_table3:
#Name: J/ApJS/199/26/table3
#Title: 2MRS catalog
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Ktmag	(F6.3)	Extinction-corrected total extrapolated Ks mag	[ucd=phot.mag;em.IR.K]
#Column	cz	(I5)	? Redshift, corrected to solar system barycenter reference frame	[ucd=phys.veloc;pos.heliocentric]
#Column	GLON	(F9.5)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F9.5)	Galactic latitude	[ucd=pos.galactic.lat]
RAJ2000	DEJ2000	Ktmag	cz	GLON	GLAT
186.35022	+18.19108	 6.134	  729	267.71216	 79.23713
145.63867	-03.69914	 6.236	 1919	239.51228	 35.01418
186.54922	+12.94597	 6.093	 -244	279.08353	 74.63677
040.10005	+39.06325	 6.217	  637	145.02322	-19.08913
187.99673	+14.42041	 6.254	 2281	282.32941	 76.50777
138.08124	-24.17260	 6.248	  686	251.97076	 16.35375
186.26575	+12.88696	 6.208	 1060	278.20502	 74.47830
064.04361	-55.78014	 6.276	 1201	265.63147	-43.69118
161.95667	+12.58163	 6.261	  911	233.49026	 57.63276
133.17227	+33.42180	 6.316	  411	190.45485	 38.76088
192.61089	+25.50076	 6.168	 1206	295.07944	 88.35722
202.49829	+47.26613	 6.238	  465	104.88158	 68.48817
161.69060	+11.81994	 6.311	  897	234.43549	 57.01038
041.57941	-30.27491	 6.243	 1271	226.91473	-64.68055
054.62118	-35.45074	 6.302	 1425	236.71642	-53.63563
114.21415	+65.60255	 6.177	  131	150.56915	 29.18593
192.14961	-05.80085	 6.357	 1241	301.63284	 57.06368
197.73463	+37.05894	 6.439	  946	101.61243	 79.24929
192.25911	-08.66435	 6.489	 1277	301.91714	 54.20262
188.51262	+07.69914	 6.465	  448	290.15945	 70.13844
003.72334	-39.19663	 6.244	  129	332.88217	-75.73088
183.97685	+13.14940	 6.513	  131	270.45587	 73.73785
053.40191	-36.14066	 6.366	 1664	237.95654	-54.59778
146.41164	-31.19109	 6.374	 1088	262.57877	 16.76339
189.43166	+11.81809	 6.472	 1517	290.39795	 74.35513
177.75743	-28.80621	 6.471	 1807	287.27591	 32.22239
190.53337	+32.54151	 6.459	  606	142.80600	 84.22353
190.70778	+02.68778	 6.412	  938	297.74844	 65.47279
054.71721	-26.33784	 6.490	 1297	221.53658	-52.78390
076.92643	-37.51305	 6.645	  968	241.21202	-35.90158
189.20757	+13.16287	 6.565	 -235	288.46741	 75.62270
169.56792	-32.81260	 6.570	  720	281.21283	 26.09979
129.35260	-55.12374	 6.610	 1051	271.77490	 -8.45706
168.32129	-26.75499	 6.680	 1367	277.24646	 31.17530
186.11761	+07.31752	 6.632	 1243	283.80698	 69.18179
131.28436	-33.79476	 6.690	 2102	255.67424	  5.64892
185.72874	+15.82238	 6.580	 1571	271.13623	 76.89884
228.97369	+56.32885	 6.753	  667	 91.58424	 51.08718
160.99055	+11.70361	 6.655	  756	233.95192	 56.36795
193.09213	-01.19969	 6.710	 1239	303.42200	 61.67111
055.04960	-18.58038	 6.678	 1779	209.63625	-50.38375
188.91618	+12.55604	 6.713	  340	287.93384	 74.96650
162.07040	+12.62930	 6.741	  704	233.52223	 57.75235
190.50967	+11.64693	 6.735	  410	294.36450	 74.36203
063.01806	-32.87421	 6.724	 1040	233.16843	-46.58406
128.34517	-22.97367	 6.794	 1693	245.36055	 10.05546
186.86066	+11.10754	 6.771	  916	282.38052	 73.01462
063.93843	-55.59236	 6.780	 1202	265.40536	-43.80114
197.15636	-49.50641	 6.781	 1453	305.79718	 13.26970
009.74154	+48.33738	 6.497	 -202	120.79182	-14.48241
054.71632	-35.59439	 6.816	 1873	236.95525	-53.55476
331.96841	+31.35915	 6.818	  952	 86.50644	-19.70728
007.59122	-33.24535	 6.838	 1602	338.30307	-82.37679
221.23335	+01.95474	 6.864	 1724	354.96588	 52.95550
344.29453	-36.46248	 6.799	 1713	  4.65836	-64.10973
171.53577	+43.58592	 6.848	  770	163.66078	 66.19115
226.62317	+55.76331	 6.868	  672	 92.03397	 52.48921
054.11496	-34.97630	 6.863	 1855	235.92632	-54.05859
259.24780	-62.82055	 6.897	 1109	328.49146	-14.05211
182.02507	+65.17413	 6.848	 1356	130.18976	 51.33921
209.03015	+05.25474	 6.924	 1139	340.96078	 63.24570
185.47896	+04.47359	 6.835	 1566	284.37125	 66.27561
038.86555	-09.35601	 6.990	 1550	181.95853	-59.69625
186.61293	+31.22352	 6.939	  716	174.53949	 83.18197
114.09934	-69.53082	 6.796	 1466	281.29944	-21.50168
183.45122	+14.90047	 6.876	 -142	265.43192	 74.95978
188.53540	+02.65381	 6.925	 1736	292.59647	 65.17782
054.62412	-23.02769	 6.886	 1636	216.21198	-52.12049
036.90609	-01.15628	 6.901	 1340	168.57396	-55.26394
065.00175	-54.93781	 6.883	 1504	264.31015	-43.39325
013.72283	-37.68438	 6.375	  144	299.20880	-79.41889
057.08638	+70.13288	 7.003	 1200	136.96951	 12.24629
076.31023	-37.98075	 7.002	 1175	241.69556	-36.45276
226.62206	+01.60537	 6.929	 1630	  0.42558	 48.79644
191.28615	-00.46191	 7.046	 1523	299.53802	 62.36829
184.70677	+14.41649	 6.915	 2407	270.43109	 75.18974
169.22774	+18.05181	 6.987	  960	230.59984	 66.42230
282.24118	-65.17344	 7.026	  946	330.33670	-24.19288
051.57217	-21.33537	 7.041	 1570	212.18298	-54.36612
184.96111	+29.61470	 7.024	  930	191.39752	 82.62107
332.31769	-47.16666	 7.030	 1750	349.58853	-52.58009
020.44520	+05.25672	 6.953	 2272	136.82056	-56.79452
094.65713	+78.35702	 7.029	  893	135.65346	 24.89640
199.95851	-27.41009	 7.100	 2143	310.63220	 35.03671
179.39993	+53.37452	 6.927	 1048	140.09178	 61.92347
133.90721	+78.22308	 6.940	 1400	134.92354	 32.68859
137.58397	+07.03777	 7.043	 1350	223.26611	 33.98764
187.85014	+25.77498	 6.991	 1344	228.59688	 85.31576
167.87903	+55.67412	 7.035	  699	148.31456	 56.25186
198.36473	+36.59365	 6.952	  875	 98.05843	 79.44814
024.17405	+15.78346	 6.820	  657	138.61697	-45.70535
067.91473	-54.60227	 7.074	 1063	263.34348	-41.83446
137.90627	+60.03721	 6.981	 1373	155.49481	 40.56357
179.58571	-50.97707	 7.168	 4229	294.46249	 11.01948
253.19304	-59.21694	 7.063	 1499	329.73874	 -9.57260
023.57598	-29.41849	 7.024	 1481	229.07695	-80.29227
000.81228	+16.14523	 7.068	 1059	106.40895	-45.17482
200.49023	-36.63021	 6.898	  468	309.73163	 25.83820
178.45428	+52.32654	 7.036	 1052	142.21779	 62.59062
200.07051	-21.82758	 7.017	 1659	311.75320	 40.54957
187.12347	+17.08495	 7.038	 1954	273.91245	 78.64216
187.25011	+13.97856	 7.136	 1210	280.10791	 75.84625
021.19883	+09.53884	 7.134	 2379	136.50549	-52.45152
071.42730	-59.24741	 7.012	 1331	268.78406	-38.98990
151.45065	-67.37798	 7.034	 1713	287.98544	 -9.44772
309.30872	+66.10563	 7.088	 1424	100.89578	 14.85308
065.49509	-56.97475	 7.103	 1041	266.89392	-42.58469
359.45761	-32.59103	 6.848	  227	  4.51568	-77.17135
180.47154	-18.87720	 7.161	 1705	286.96286	 42.45281
185.02841	+29.28050	 7.142	  649	193.78526	 82.77279
218.16991	-44.17461	 7.105	 1233	321.44281	 15.02798
296.23416	-14.79758	 6.641	  -57	 25.34242	-18.39106
187.45366	+13.42932	 7.147	 2244	281.61707	 75.39861
192.20532	-41.31109	 7.103	 2958	302.40359	 21.55797
055.50647	-47.22208	 7.055	  991	255.69072	-51.19481
167.49054	-37.53934	 7.150	 3030	281.57867	 21.08892
139.82732	+69.20334	 7.216	  696	144.04575	 38.04673
343.75394	-39.66137	 7.228	 1709	358.02139	-62.82985
040.43847	+00.44318	 7.139	 1006	171.33112	-51.74944
319.75104	-48.56201	 7.226	 2285	350.37125	-44.06046
207.31334	+60.19041	 7.155	 1754	110.27934	 55.49506
153.44031	+03.42467	 7.199	 1183	238.14638	 45.52411
348.03162	-28.53960	 7.271	 1549	 23.44308	-68.03816
150.49135	+55.68000	 7.258	 1116	157.80977	 48.36007
199.52112	-26.83722	 7.265	 2028	310.25082	 35.65554
187.50945	+13.63645	 7.216	 1355	281.54553	 75.61197
188.86012	+14.49632	 7.102	  486	285.69278	 76.82951
035.76904	-21.23385	 7.220	 1485	202.13918	-68.32240
153.56291	+03.46612	 7.272	 1238	238.20201	 45.64732
140.75441	-32.44976	 7.280	 1664	259.92227	 12.51117
302.47531	-48.37955	 7.297	 2855	350.91614	-32.63749
267.36047	+70.14434	 7.285	   25	100.57258	 30.64091
187.01622	+09.80362	 7.286	  532	284.17691	 71.81902
204.38362	+08.88506	 7.244	 1151	335.92953	 68.75030
186.94022	+13.00859	 7.255	   71	280.34796	 74.83237
178.23065	+36.98635	 7.309	  928	170.71785	 74.19394
025.75979	+13.64568	 7.313	  856	141.60667	-47.34629
095.41574	-27.23374	 7.078	 1514	234.85040	-18.13075
186.91875	+13.07900	 7.287	  801	280.17807	 74.89091
028.25218	-13.73868	 7.265	 1620	173.01935	-70.35724
180.09848	-01.10000	 7.321	 1430	277.37003	 59.21467
200.44267	-27.43052	 7.131	 1815	311.14828	 34.95682
184.84692	+05.82471	 7.257	 2238	281.80554	 67.37234
349.59842	-42.37057	 7.311	 1575	348.07797	-65.69610
029.83159	+19.00754	 7.171	 2472	144.38832	-41.01848
165.07739	+13.90123	 7.364	  677	234.38370	 60.91314
179.48395	+55.45355	 7.359	 1040	138.17242	 60.06352
188.87294	-03.79321	 7.379	 1019	295.22729	 58.83973
022.83648	-06.86806	 7.289	 1872	149.80539	-67.63328
182.76819	+50.48468	 7.355	  774	138.47159	 65.40834
193.23354	+11.23080	 7.291	  984	304.27100	 74.09857
190.83391	+01.97836	 7.402	 1335	298.17725	 64.77522
045.30903	+44.89721	 7.373	 1954	145.80962	-12.13159
150.82976	+68.73373	 7.280	   14	141.89977	 41.66017
188.18994	+00.11504	 7.321	 1128	292.73700	 62.61642
187.04633	+44.09356	 7.244	  207	136.85326	 72.40086
154.22359	+73.40069	 7.400	 2802	136.29008	 39.46334
110.97812	-27.52906	 7.339	 1782	241.01704	 -5.69876
182.63608	+39.40576	 7.371	  995	155.07680	 75.06339
040.26999	-08.25583	 7.442	 1590	182.01952	-57.92550
215.08311	+03.93359	 7.380	 1507	349.27325	 58.56306
183.77098	+33.19728	 7.402	 1086	173.03310	 80.07881
187.65154	+41.64363	 7.344	  565	137.99504	 74.86983
191.27489	+03.05571	 7.417	  785	299.05731	 65.87969
054.23773	-35.50664	 7.421	 1265	236.82455	-53.94635
169.01950	-76.21632	 7.423	 1680	297.22565	-14.41233
189.98309	+10.17610	 7.455	 1870	293.29901	 72.83221
052.78383	-33.62864	 7.395	 1918	233.61246	-55.16779
170.27855	+03.23482	 7.503	 1251	256.92532	 57.79863
194.83864	-15.04217	 7.451	 1353	305.77713	 47.78580
212.09892	-47.97081	 7.463	 1415	316.01474	 12.93646
052.08195	-31.06818	 7.393	 1106	229.06860	-55.67808
154.52351	+21.83194	 7.448	 1271	213.03577	 54.84533
181.39246	+50.53903	 7.472	  757	140.33528	 65.01120
205.75877	-48.16941	 7.446	 3004	311.75131	 13.81681
147.59264	+72.27865	 7.350	 1322	139.01350	 38.68297
168.65417	+12.81802	 7.410	  640	240.42807	 63.21137
063.18019	-57.73796	 7.438	 1148	268.40634	-43.54415
193.07318	+11.31366	 7.403	 1347	303.70068	 74.18404
225.29694	+01.70197	 7.393	 1972	359.18188	 49.84848
181.66989	-29.76021	 7.500	 1884	291.45978	 32.11250
204.16269	-33.96588	 7.479	 3737	313.53830	 27.97297
133.38644	+51.31358	 7.426	  692	167.32585	 39.67995
172.88330	-30.30774	 7.495	 1776	283.12933	 29.47299
287.84848	-57.04957	 7.499	 3166	339.69598	-25.13367
188.58463	+08.19776	 7.377	 1964	290.07153	 70.64127
200.30356	-43.70469	 7.516	 3421	308.61121	 18.83847
060.11570	+68.57774	 7.552	 1102	138.83337	 11.76279
161.92667	+13.98564	 7.429	  665	231.17854	 58.31807
344.30655	-43.39614	 7.450	 1689	350.23697	-61.80075
181.76303	+43.06539	 7.548	  807	149.53018	 71.69686
226.35944	+02.09932	 7.562	 1359	  0.72865	 49.31937
050.98499	-36.46466	 7.447	 1266	238.77307	-56.51756
189.14288	+11.23863	 7.505	 2232	289.81485	 73.73051
154.57077	+41.42438	 7.219	  592	178.33508	 55.63794
180.36205	+61.89570	 7.554	 1445	132.97951	 54.24675
349.04486	-42.58483	 7.531	 1600	348.14471	-65.23586
081.69839	-63.76002	 7.491	 1100	273.32129	-33.43850
185.63350	+29.89532	 7.445	  963	187.68895	 83.07563
196.45383	-08.02041	 7.589	 1407	309.09583	 54.67913
017.36280	+35.71796	 7.511	  -48	127.03506	-27.01013
146.81441	+67.91638	 7.499	    2	143.91449	 40.90264
179.85495	+50.96169	 7.576	  930	141.93951	 64.20386
208.36134	+40.28308	 7.621	 2325	 82.61056	 71.63358
192.41232	+15.16549	 7.557	 1125	300.85037	 78.02991
101.92880	-26.75436	 7.471	 2037	236.74515	-12.60195
185.30371	+18.38240	 7.465	  900	262.85339	 78.82478
008.69484	-08.39644	 7.665	 1685	110.27597	-70.85769
192.09550	+08.48730	 7.555	 1009	300.56897	 71.34494
027.23879	+05.90598	 7.634	 1506	147.88263	-54.15575
295.89349	-58.65571	 7.657	 2107	338.57999	-29.59360
137.70609	-08.89070	 7.687	 1819	238.90300	 25.59076
160.87979	+24.92222	 7.425	  580	210.03999	 61.25494
155.39616	-34.26680	 7.545	 2858	270.79596	 19.09065
178.30719	+60.67556	 7.516	 1259	135.33002	 55.02955
188.61304	+02.18788	 7.510	 1808	292.95032	 64.72986
179.63091	+43.94702	 7.628	  835	151.86484	 70.08892
315.88995	+29.89740	 7.643	  779	 75.13431	-11.14382
183.96208	+47.09179	 7.576	 1027	139.89792	 68.84692
210.91154	-33.97839	 7.492	 4126	319.62476	 26.54189
060.97617	-43.34885	 7.481	  898	248.66808	-48.16579
047.43964	-20.57930	 7.372	 1651	208.77309	-57.80897
186.32426	-39.75972	 7.624	 3378	297.48444	 22.83537
295.66910	-10.32370	 7.591	 1671	 29.35105	-16.01216
301.83115	-48.37022	 7.689	 2720	350.87726	-32.21076
056.32115	+76.63830	 7.625	 2536	132.50668	 17.11902
062.10057	-47.89704	 7.625	 1212	255.14604	-46.70970
113.08536	+85.70886	 7.592	 1905	127.70739	 27.80929
178.66710	-13.97504	 7.651	 1738	282.65298	 46.64924
046.03325	-26.06963	 7.671	 1649	218.54221	-60.40433
162.72208	+13.41214	 7.660	  841	232.86966	 58.69993
177.30507	-29.27674	 7.655	 1684	286.98184	 31.66065
198.25421	-19.51830	 7.700	 2687	309.89816	 43.06135
062.46600	-56.11845	 7.619	  764	266.44821	-44.43299
171.18182	+38.76278	 7.675	 2049	174.71252	 68.49333
156.63451	-39.94394	 7.674	 2774	274.96866	 14.93236
223.49016	+03.54451	 7.748	 1677	359.43176	 52.42291
067.70494	+64.84792	 7.613	 -104	143.68231	 11.24193
146.06685	-21.27829	 7.618	 2296	255.04037	 23.72256
189.22249	+07.24663	 7.684	 1730	292.42090	 69.82085
181.59631	+52.71095	 7.708	  846	138.07866	 63.07239
056.13298	-44.64483	 7.655	 1168	251.52235	-51.39397
304.57977	-70.85881	 7.685	 4010	324.12943	-32.59998
349.77002	-08.48514	 7.627	 2214	 69.09946	-61.28425
263.10126	+07.06027	 7.484	 1665	 30.25999	 20.77072
208.91676	+40.46177	 7.609	 2539	 82.17237	 71.19601
186.73515	+15.04742	 7.725	 -261	276.44699	 76.64254
118.96465	-52.30678	 7.721	  946	266.00351	-12.11442
196.07124	-30.52628	 7.702	 3197	306.20370	 32.26382
199.24370	-16.63485	 7.560	 1744	311.72238	 45.80054
184.53465	+28.17532	 7.719	 1071	202.93077	 82.55359
194.18013	-50.34687	 7.712	 2064	303.79514	 12.51603
155.87753	+19.86495	 7.631	 1157	216.99182	 55.44540
202.45346	-17.96649	 7.600	 1501	315.65427	 43.95518
186.23096	+11.70427	 7.705	  943	279.67297	 73.36707
197.23845	-15.51629	 7.722	 1297	309.14151	 47.14412
083.34065	-21.94577	 7.667	 -248	225.27501	-26.50183
354.97446	-12.29301	 7.676	 1766	 70.94049	-67.61457
176.53242	+47.49450	 7.738	  906	150.71980	 65.95671
177.31404	+56.08435	 7.648	 1176	139.79134	 58.96205
116.89188	-41.45214	 7.749	 1131	255.67647	 -8.05464
200.10402	-20.61099	 7.778	 1818	312.03452	 41.74798
198.84987	-16.38553	 7.685	 2782	311.23398	 46.09957
013.01798	+47.55051	 7.769	  627	123.04282	-15.32098
053.75563	-24.93311	 7.621	 1405	218.95412	-53.34695
224.59462	-01.09108	 7.693	 1905	355.35300	 48.42650
063.41961	-31.64541	 7.721	 1384	231.45996	-46.10007
187.24588	+03.57060	 7.769	  882	289.13239	 65.83885
185.99094	+16.69335	 7.805	 1200	270.16638	 77.78022
153.67546	-28.87206	 7.760	 1082	266.11938	 22.57706
054.87851	-18.68817	 7.788	  530	209.70656	-50.57322
330.66592	-20.81282	 7.760	 2620	 32.89153	-51.11115
094.76109	+03.16428	 7.802	 2902	206.39551	 -5.73996
194.50517	+01.57558	 7.787	 1108	306.74118	 64.39856
124.69003	-25.49952	 7.718	 1637	245.54913	  5.87812
187.06429	+28.62030	 7.805	  661	195.35246	 84.66504
038.55573	+29.31127	 7.825	 1543	148.39532	-28.42896
180.79036	+44.53126	 7.665	  700	148.88284	 70.08543
050.68454	-37.10379	 7.730	 1941	239.97212	-56.69323
049.92116	-19.41136	 7.553	 1620	208.16510	-55.22260
138.46037	-69.64500	 7.765	 1652	285.96088	-14.31768
185.42699	+14.59776	 7.814	 1098	272.51837	 75.68336
113.71317	-69.28413	 7.799	 1367	281.00021	-21.54435
182.40031	+42.53419	 7.848	  958	149.18355	 72.39643
204.51266	-17.88403	 7.494	 1355	318.32263	 43.59031
209.46098	-43.93130	 7.891	 2425	315.37952	 17.32958
189.35431	+74.19189	 7.748	 1980	124.23476	 42.90103
085.51990	+69.37838	 7.686	 3934	143.82256	 19.47229
186.90549	-39.33781	 7.825	 2934	297.92062	 23.30208
215.26534	+03.27099	 7.816	 1487	348.72946	 57.93836
113.48438	-50.44302	 7.819	 1085	262.69495	-14.30340
189.99742	+61.60919	 7.757	  136	125.33222	 55.46582
038.39312	-39.04506	 7.772	 1933	248.69104	-65.63553
184.93866	+12.79833	 7.825	 1009	274.01526	 73.86430
190.98599	+13.12635	 7.726	 1048	295.42816	 75.88871
149.60246	-26.92660	 7.856	 2580	261.78064	 21.80233
061.01133	-54.10006	 7.830	 1175	264.09482	-45.85108
049.96339	-26.06059	 7.819	 1710	219.69826	-56.92544
156.82657	+28.50740	 7.853	 1314	201.90544	 58.22060
173.14558	+53.06783	 7.756	  993	147.01469	 60.21708
183.21712	+01.29968	 7.909	 1256	281.62024	 62.56461
172.43512	-36.39130	 7.869	 2977	285.07574	 23.63153
032.08808	+10.99492	 7.861	 1735	151.55539	-47.55670
157.79832	-46.25127	 7.882	 2822	279.14041	 10.04116
008.30050	+48.50874	 7.140	 -193	119.81739	-14.25257
105.66829	-28.69725	 7.850	 2185	239.96065	-10.41048
188.99037	+27.95976	 7.578	  807	198.41927	 86.47029
188.02586	+11.17643	 7.871	 1342	286.09946	 73.41303
049.56686	-66.49826	 7.530	  470	283.35870	-44.64297
169.60532	+58.78622	 7.904	 1704	143.54227	 54.46190
326.06717	-75.11132	 7.841	 2381	316.43491	-36.67218
199.72836	-21.03910	 7.513	  668	311.48669	 41.37578
189.11247	+11.43929	 7.925	 1142	289.56033	 73.92059
194.86308	+14.17105	 7.907	 1988	311.53888	 76.90859
218.19521	+49.45784	 7.903	 2096	 88.67671	 60.38580
181.50484	+47.47836	 7.800	  555	143.54427	 67.79122
041.49969	-07.57864	 7.921	 1435	182.48102	-56.55447
177.15913	+48.71082	 7.883	  967	148.15517	 65.22746
300.86264	-55.94717	 7.907	 4434	341.89676	-32.12835
064.39906	-62.78367	 8.007	 1304	274.51056	-41.19824
145.64680	+58.85121	 7.906	 1337	155.18993	 44.66462
185.08968	+05.38640	 7.932	 2711	282.75397	 67.03260
332.11414	+48.44078	 7.913	 1103	 97.11768	 -6.09086
161.79169	+72.83967	 7.939	 2837	134.63356	 41.34628
225.23209	-07.45736	 7.932	 1894	349.79919	 43.32460
172.53107	+09.27663	 7.903	 1018	252.02116	 63.78552
139.04623	-16.31273	 7.957	 2103	246.20833	 22.10070
194.20375	-08.52529	 7.923	 1069	305.21170	 54.32260
140.85019	-63.81256	 7.946	 2881	282.27451	 -9.63797
014.45378	+30.35236	 7.932	 4942	124.56313	-32.49909
199.74973	-47.90866	 7.958	 3005	307.70099	 14.70772
308.58569	-31.98089	 7.964	 2791	 11.27139	-34.69370
175.24477	+11.47112	 7.936	  990	252.94064	 67.21996
154.97913	+45.54969	 7.775	  667	171.21864	 54.82900
305.20682	-48.23908	 7.936	 2958	351.25476	-34.43757
111.76688	+80.17807	 7.690	 2204	133.95811	 28.21686
173.33823	+47.02909	 7.771	  866	155.37903	 64.87894
169.65051	+57.99997	 7.999	 2034	144.33966	 55.10010
140.36455	-11.90949	 7.951	 1793	243.32635	 25.85465
339.35223	+23.79833	 7.999	 1172	 87.38886	-29.66895
