#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-06T23:19:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-06T23:19:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/438/3465/table2&-out=IDpt,x,y,z&-out.max=999999	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74383465
#Name: J/MNRAS/438/3465
#Title: Cosmic web filaments in the SDSS (Tempel+, 2014)
#INFO	ivoid=ivo://cds.vizier/j/mnras/438/3465	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/438/3465	    IVOID of underlying data collection
#INFO	creator=Tempel E.	    First author or institution
#INFO	cites=bibcode:2014MNRAS.438.3465T	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2014	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/438/3465	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74383465	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_438_3465_table2:
#Name: J/MNRAS/438/3465/table2
#Title: Filament points properties
#Column	IDpt	(I6)	[1/275599] Unique identification number for a filament point, shared for all filaments	[ucd=pos.distance]
#Column	x	(F8.3)	Co-moving coordinate of the point (Mpc/h)	[ucd=pos.distance;pos.cartesian.x]
#Column	y	(F8.3)	Co-moving coordinate of the point (Mpc/h)	[ucd=pos.distance;pos.cartesian.y]
#Column	z	(F8.3)	Co-moving coordinate of the point (Mpc/h)	[ucd=pos.distance;pos.cartesian.z]
IDpt	x	y	z
   120	-115.248	 199.817	-112.435
   121	-115.107	 200.289	-112.350
   122	-114.953	 200.762	-112.293
   123	-114.808	 201.237	-112.224
   124	-114.693	 201.715	-112.140
   125	-114.639	 202.195	-112.005
   126	-114.635	 202.672	-111.842
   127	-114.648	 203.147	-111.666
   128	-114.631	 203.626	-111.524
   129	-114.574	 204.108	-111.390
   130	-114.509	 204.596	-111.279
   131	-114.463	 205.078	-111.148
   132	-114.402	 205.561	-111.018
   133	-114.389	 206.032	-110.850
   134	-114.438	 206.492	-110.669
   135	-114.581	 206.927	-110.448
   136	-114.751	 207.347	-110.213
   137	-114.886	 207.763	-109.962
   138	-114.994	 208.191	-109.721
   139	-115.059	 208.627	-109.485
   140	-115.085	 209.077	-109.260
   141	-115.102	 209.532	-109.045
   142	  54.579	  97.799	 -55.797
   143	  54.700	  97.634	 -55.335
   144	  54.798	  97.479	 -54.863
   145	  54.924	  97.347	 -54.397
   146	  55.053	  97.211	 -53.933
   147	  55.212	  97.102	 -53.463
   148	  55.440	  96.997	 -52.961
   149	  55.584	  96.880	 -52.457
   150	  55.632	  96.708	 -51.971
   151	  55.545	  96.494	 -51.527
   152	  55.457	  96.259	 -51.094
   153	  55.362	  96.023	 -50.663
   154	  55.268	  95.789	 -50.231
   155	  55.181	  95.573	 -49.779
   156	  55.077	  95.342	 -49.336
   157	  54.934	  95.082	 -48.926
   158	  54.727	  94.810	 -48.554
   159	  54.475	  94.550	 -48.199
   160	  54.199	  94.293	 -47.860
   161	  53.928	  94.014	 -47.541
   162	  53.654	  93.722	 -47.235
   163	  53.382	  93.430	 -46.930
   164	  53.109	  93.141	 -46.624
   165	  52.852	  92.865	 -46.296
   166	  52.636	  92.632	 -45.912
   167	  52.455	  92.430	 -45.486
   168	  52.297	  92.242	 -45.040
   169	  52.131	  92.041	 -44.611
   170	  51.961	  91.826	 -44.191
   171	  51.780	  91.602	 -43.782
   172	  51.590	  91.364	 -43.385
   173	  51.396	  91.124	 -42.991
   174	  51.201	  90.870	 -42.608
   175	  50.999	  90.582	 -42.253
   176	  50.810	  90.248	 -41.927
   177	  50.630	  89.890	 -41.620
   178	  50.461	  89.535	 -41.307
   179	  50.290	  89.195	 -40.982
   180	  50.130	  88.868	 -40.640
   181	  49.986	  88.568	 -40.267
   182	  49.856	  88.296	 -39.866
   183	  49.732	  88.046	 -39.450
   184	  49.606	  87.802	 -39.030
   185	  49.476	  87.567	 -38.609
   186	  49.340	  87.338	 -38.185
   187	 -39.546	 165.012	  47.729
   188	 -39.935	 164.980	  47.449
   189	 -40.273	 164.891	  47.098
   190	 -40.558	 164.726	  46.676
   191	 -40.874	 164.603	  46.301
   192	 -41.187	 164.449	  45.942
   193	 -41.492	 164.233	  45.612
   194	 -41.791	 163.970	  45.309
   195	 -42.097	 163.690	  45.029
   196	 -42.398	 163.396	  44.757
   197	 -42.705	 163.106	  44.482
   198	 -43.023	 162.820	  44.187
   199	 -43.297	 162.509	  43.879
   200	 -43.505	 162.163	  43.571
   201	 -43.635	 161.775	  43.282
   202	 -43.741	 161.369	  43.010
   203	 -43.839	 160.953	  42.750
   204	 -43.943	 160.538	  42.491
   205	 -44.045	 160.125	  42.226
   206	 -44.156	 159.713	  41.958
   207	 -44.284	 159.285	  41.729
   208	 -44.434	 158.836	  41.585
   209	 -44.592	 158.365	  41.521
   210	 -44.751	 157.887	  41.506
   211	 -44.902	 157.410	  41.482
   212	 -45.053	 156.934	  41.448
   213	 -45.201	 156.457	  41.405
   214	 -45.339	 155.973	  41.371
   215	 -45.465	 155.486	  41.385
   216	 -45.584	 155.012	  41.481
   217	 -45.706	 154.554	  41.642
   218	 -45.833	 154.110	  41.836
   219	 -45.963	 153.668	  42.030
   220	 -46.098	 153.227	  42.224
   221	 -46.241	 152.786	  42.419
   222	 -46.394	 152.352	  42.629
   223	 -46.516	 151.936	  42.881
   224	 -46.592	 151.550	  43.189
   225	 -46.608	 151.183	  43.530
   226	 -46.604	 150.822	  43.879
   227	 -46.601	 150.449	  44.212
   228	 -46.605	 150.073	  44.542
   229	 -46.603	 149.698	  44.874
   230	 -46.599	 149.315	  45.195
   231	 -46.594	 148.912	  45.490
   232	 -46.606	 148.484	  45.747
   233	 -46.628	 148.039	  45.977
   234	 -46.655	 147.595	  46.205
   235	 -46.683	 147.154	  46.439
   236	 -46.714	 146.716	  46.679
   237	 -46.752	 146.278	  46.917
   238	 -46.785	 145.835	  47.149
   239	 -46.790	 145.382	  47.358
   240	 -46.766	 144.924	  47.556
   241	 -46.721	 144.464	  47.748
   242	 -46.679	 144.005	  47.943
   243	 -46.635	 143.544	  48.131
   244	 -46.594	 143.080	  48.313
   245	 -46.547	 142.615	  48.499
   246	 -46.518	 142.150	  48.687
   247	 -46.489	 141.677	  48.856
   248	 -46.435	 141.189	  48.975
   249	 -46.352	 140.689	  49.038
   250	 -46.270	 140.187	  49.071
   251	 -46.212	 139.690	  49.112
   252	 -46.156	 139.196	  49.174
   253	 -46.098	 138.715	  49.291
   254	 -46.030	 138.246	  49.450
   255	 -45.957	 137.790	  49.649
   256	 -45.886	 137.333	  49.839
   257	 -45.814	 136.877	  50.032
   258	 -45.745	 136.419	  50.220
   259	 -45.672	 135.964	  50.414
   260	 -45.600	 135.508	  50.605
   261	 -45.521	 135.052	  50.796
   262	 -45.435	 134.598	  50.988
   263	 -30.450	  90.586	 -12.567
   264	 -30.477	  90.073	 -12.545
   265	 -30.524	  89.569	 -12.569
   266	 -30.622	  89.084	 -12.637
   267	 -30.734	  88.604	 -12.743
   268	 -30.872	  88.112	 -12.904
   269	 -31.013	  87.620	 -12.994
   270	 -31.148	  87.125	 -13.020
   271	 -31.260	  86.632	 -13.021
   272	 -31.369	  86.134	 -13.089
   273	 -31.489	  85.646	 -13.181
   274	 -31.634	  85.170	 -13.246
   275	 -31.775	  84.693	 -13.308
   276	 -31.928	  84.220	 -13.376
   277	 -32.057	  83.742	 -13.451
   278	 -32.144	  83.259	 -13.532
   279	 -32.141	  82.762	 -13.601
   280	 -32.108	  82.261	 -13.660
   281	 -32.100	  81.762	 -13.715
   282	 -32.129	  81.266	 -13.778
   283	 -32.181	  80.774	 -13.849
   284	 -32.247	  80.287	 -13.940
   285	 -32.239	  79.789	 -14.018
   286	 -32.153	  79.286	 -14.087
   287	 -32.004	  78.784	 -14.157
   288	 -31.872	  78.305	 -14.273
   289	 -31.779	  77.849	 -14.462
   290	 -31.732	  77.401	 -14.688
   291	 -31.732	  76.962	 -14.948
   292	 -31.733	  76.527	 -15.203
   293	 -31.734	  76.088	 -15.447
   294	 -31.764	  75.637	 -15.663
   295	 -31.807	  75.180	 -15.864
   296	 149.931	 128.707	 -29.940
   297	 149.805	 128.786	 -29.461
   298	 149.682	 128.889	 -28.976
   299	 149.544	 128.995	 -28.488
   300	 149.369	 129.047	 -28.016
   301	 149.152	 129.012	 -27.568
   302	 148.912	 128.914	 -27.140
   303	 148.670	 128.803	 -26.716
   304	 148.428	 128.692	 -26.293
   305	 148.180	 128.585	 -25.872
   306	 147.911	 128.481	 -25.463
   307	 147.614	 128.387	 -25.072
   308	 147.298	 128.295	 -24.696
   309	 146.974	 128.204	 -24.326
   310	 146.654	 128.112	 -23.952
   311	 146.338	 128.019	 -23.576
   312	 146.019	 127.928	 -23.202
   313	 145.704	 127.835	 -22.825
   314	 145.377	 127.731	 -22.459
   315	 145.051	 127.583	 -22.111
   316	 144.729	 127.368	 -21.799
   317	 144.430	 127.100	 -21.499
   318	 144.140	 126.815	 -21.206
   319	 143.852	 126.544	 -20.899
   320	 143.559	 126.279	 -20.592
   321	 143.263	 126.020	 -20.283
   322	 142.954	 125.767	 -19.967
   323	 142.673	 125.486	 -19.653
   324	 142.463	 125.173	 -19.317
   325	 142.330	 124.838	 -18.962
   326	 142.243	 124.504	 -18.584
   327	 142.148	 124.170	 -18.223
   328	 142.051	 123.833	 -17.866
   329	 141.960	 123.491	 -17.512
   330	 141.874	 123.145	 -17.160
   331	 141.789	 122.807	 -16.800
   332	 141.675	 122.512	 -16.414
   333	 141.537	 122.272	 -16.000
   334	 141.367	 122.083	 -15.566
   335	 141.189	 121.906	 -15.133
   336	 141.002	 121.728	 -14.705
   337	 140.816	 121.540	 -14.280
   338	 140.619	 121.334	 -13.866
   339	 140.426	 121.156	 -13.439
   340	 140.252	 121.046	 -12.988
   341	 140.122	 121.041	 -12.503
   342	 140.024	 121.092	 -12.006
   343	 139.949	 121.158	 -11.508
   344	 139.873	 121.200	 -11.015
   345	 139.796	 121.233	 -10.522
   346	 139.718	 121.266	 -10.029
   347	 139.633	 121.296	  -9.537
   348	 139.554	 121.318	  -9.044
   349	 139.476	 121.330	  -8.550
   350	 139.395	 121.330	  -8.056
   351	 139.297	 121.328	  -7.566
   352	 139.189	 121.338	  -7.078
   353	 139.081	 121.354	  -6.589
   354	 138.979	 121.370	  -6.099
   355	 138.869	 121.355	  -5.610
   356	 138.754	 121.317	  -5.120
   357	 138.647	 121.277	  -4.630
   358	 138.573	 121.262	  -4.136
   359	 138.522	 121.276	  -3.639
   360	 138.481	 121.303	  -3.141
   361	 138.443	 121.338	  -2.644
   362	 138.406	 121.370	  -2.146
   363	 138.381	 121.400	  -1.647
   364	 138.341	 121.440	  -1.150
   365	 138.277	 121.507	  -0.660
   366	 138.179	 121.599	  -0.177
   367	 138.071	 121.707	   0.300
   368	 137.965	 121.816	   0.777
   369	 137.861	 121.926	   1.253
   370	 137.758	 122.032	   1.731
   371	 137.653	 122.139	   2.208
   372	 137.549	 122.248	   2.686
   373	 137.458	 122.345	   3.167
   374	 137.394	 122.420	   3.657
   375	 137.364	 122.466	   4.154
   376	 137.353	 122.501	   4.653
   377	 137.350	 122.525	   5.152
   378	 137.346	 122.551	   5.652
   379	 137.352	 122.576	   6.151
   380	 137.365	 122.612	   6.651
   381	 137.379	 122.621	   7.150
   382	 137.363	 122.580	   7.647
   383	 137.320	 122.502	   8.142
   384	 137.267	 122.416	   8.637
   385	 137.237	 122.334	   9.130
   386	 137.237	 122.192	   9.613
   387	 137.291	 122.008	  10.089
   388	 137.364	 121.798	  10.556
   389	 137.457	 121.603	  11.017
   390	 137.515	 121.389	  11.469
   391	 137.553	 121.160	  11.913
   392	 137.553	 120.927	  12.355
   393	 137.518	 120.691	  12.795
   394	 137.444	 120.450	  13.227
   395	 137.326	 120.204	  13.650
   396	 137.208	 119.974	  14.082
   397	 137.102	 119.762	  14.524
   398	 136.997	 119.563	  14.972
   399	 136.875	 119.370	  15.419
   400	 136.729	 119.184	  15.863
   401	 136.586	 119.010	  16.313
   402	 167.825	 118.430	 -21.294
   403	 167.550	 118.697	 -20.972
   404	 167.284	 118.964	 -20.642
   405	 167.025	 119.227	 -20.305
   406	 166.767	 119.488	 -19.964
   407	 166.506	 119.746	 -19.618
   408	 166.232	 120.004	 -19.262
   409	 165.988	 120.307	 -18.932
   410	 165.793	 120.665	 -18.640
   411	 165.651	 121.074	 -18.392
   412	 165.525	 121.499	 -18.158
   413	 165.395	 121.920	 -17.917
   414	 165.279	 122.342	 -17.673
   415	 165.174	 122.766	 -17.424
   416	 165.097	 123.191	 -17.168
   417	 165.035	 123.615	 -16.899
   418	 165.008	 124.029	 -16.609
   419	 165.010	 124.423	 -16.296
   420	 165.045	 124.785	 -15.952
   421	 165.085	 125.112	 -15.576
   422	 165.117	 125.400	 -15.170
   423	 165.150	 125.669	 -14.749
   424	 165.185	 125.922	 -14.318
   425	 165.230	 126.180	 -13.892
   426	 165.271	 126.432	 -13.462
   427	 165.322	 126.674	 -13.027
   428	 165.402	 126.890	 -12.584
   429	 165.509	 127.085	 -12.136
   430	 165.639	 127.263	 -11.687
   431	 165.772	 127.439	 -11.238
   432	 165.909	 127.608	 -10.786
   433	 166.019	 127.775	 -10.327
   434	 166.120	 127.953	  -9.871
   435	 166.257	 128.145	  -9.432
   436	 166.433	 128.347	  -9.005
   437	 166.640	 128.559	  -8.597
   438	 166.857	 128.783	  -8.207
   439	 167.104	 129.026	  -7.846
   440	 167.371	 129.265	  -7.497
   441	 167.638	 129.507	  -7.150
   442	 167.907	 129.744	  -6.801
   443	 168.176	 129.980	  -6.452
   444	 168.437	 130.232	  -6.100
   445	 168.716	 130.463	  -5.748
   446	 169.014	 130.670	  -5.401
   447	 169.355	 130.873	  -5.094
   448	 169.735	 131.079	  -4.836
   449	 170.154	 131.280	  -4.625
   450	 170.588	 131.438	  -4.419
   451	 171.028	 131.566	  -4.215
   452	 171.483	 131.655	  -4.026
   453	 171.950	 131.711	  -3.848
   454	 172.426	 131.750	  -3.686
   455	 172.890	 131.806	  -3.508
   456	 173.356	 131.857	  -3.335
   457	 173.823	 131.896	  -3.160
   458	 -37.786	 249.219	  -9.577
   459	 -37.418	 248.996	  -9.308
   460	 -37.048	 248.807	  -9.025
   461	 -36.688	 248.659	  -8.710
   462	 -36.333	 248.534	  -8.379
   463	 -35.991	 248.395	  -8.031
   464	 -35.628	 248.242	  -7.711
   465	 -35.226	 248.099	  -7.439
   466	 -34.771	 248.004	  -7.228
   467	 -34.309	 247.956	  -7.021
   468	 -33.860	 247.945	  -6.789
   469	 -33.439	 247.954	  -6.518
   470	 -33.022	 247.967	  -6.240
   471	 -32.613	 247.985	  -5.950
   472	 -32.214	 248.016	  -5.647
   473	 -31.840	 248.072	  -5.318
   474	 -31.495	 248.155	  -4.967
   475	 -31.170	 248.258	  -4.601
   476	 -30.861	 248.374	  -4.225
   477	 -30.556	 248.496	  -3.848
   478	 -30.256	 248.630	  -3.470
   479	 -29.972	 248.775	  -3.085
   480	 -29.710	 248.925	  -2.686
   481	 -29.476	 249.070	  -2.269
   482	 -29.255	 249.211	  -1.843
   483	 -29.035	 249.350	  -1.415
   484	 -28.811	 249.490	  -0.989
   485	 -28.578	 249.630	  -0.562
   486	 -28.308	 249.745	  -0.154
   487	 -27.980	 249.821	   0.211
   488	 -27.606	 249.860	   0.542
   489	 -27.216	 249.885	   0.858
   490	 -26.840	 249.922	   1.185
   491	 -26.466	 249.964	   1.514
   492	 -26.089	 250.009	   1.842
   493	 -25.700	 250.041	   2.154
   494	 -25.289	 250.044	   2.436
   495	 -24.855	 250.004	   2.681
   496	 -24.411	 249.940	   2.903
   497	 -23.967	 249.864	   3.123
   498	 -23.527	 249.790	   3.348
   499	 -23.076	 249.682	   3.570
   500	 -22.630	 249.614	   3.807
   501	 -22.205	 249.614	   4.071
   502	 -21.812	 249.708	   4.363
   503	 -21.432	 249.837	   4.665
   504	 -21.054	 249.970	   4.965
   505	 -20.674	 250.093	   5.266
   506	 -20.292	 250.213	   5.569
   507	 -19.922	 250.362	   5.870
   508	 -19.574	 250.560	   6.169
   509	 -19.265	 250.824	   6.458
   510	 -18.978	 251.121	   6.741
   511	 -18.702	 251.432	   7.020
   512	 -18.420	 251.734	   7.302
   513	 -18.142	 252.032	   7.600
   514	 -17.851	 252.343	   7.883
   515	 -17.552	 252.660	   8.151
   516	 -17.261	 252.963	   8.446
   517	 -16.993	 253.223	   8.805
   518	 -16.750	 253.462	   9.190
   519	 -16.516	 253.701	   9.567
   520	 -16.313	 253.927	   9.963
   521	 -16.128	 254.139	  10.376
   522	 -15.940	 254.348	  10.789
   523	 -15.733	 254.583	  11.181
   524	 -15.518	 254.830	  11.560
   525	 -15.290	 255.065	  11.937
   526	 -15.073	 255.317	  12.312
   527	 -14.873	 255.594	  12.684
   528	 -17.996	 203.778	  28.968
   529	 -18.459	 203.839	  29.168
   530	 -18.934	 203.906	  29.327
   531	 -19.418	 203.973	  29.471
   532	 -19.911	 204.059	  29.580
   533	 -20.377	 204.196	  29.717
   534	 -20.823	 204.380	  29.856
   535	 -21.259	 204.585	  29.993
   536	 -21.705	 204.776	  30.115
   537	 -22.150	 204.972	  30.235
   538	 -22.592	 205.174	  30.353
   539	 -23.030	 205.384	  30.468
   540	 -23.471	 205.597	  30.573
   541	 -23.910	 205.817	  30.662
   542	 -24.349	 206.041	  30.750
   543	 -24.783	 206.278	  30.824
   544	 -25.212	 206.527	  30.887
   545	 -25.633	 206.796	  30.923
   546	 -26.047	 207.076	  30.938
   547	 -26.456	 207.365	  30.942
   548	 -26.865	 207.654	  30.938
   549	 -27.280	 207.936	  30.938
   550	 -27.705	 208.199	  30.927
   551	 -28.131	 208.457	  30.885
   552	 -28.551	 208.718	  30.813
   553	 -28.961	 208.994	  30.730
   554	 -29.363	 209.282	  30.657
   555	 -29.760	 209.576	  30.580
   556	 -30.154	 209.871	  30.490
   557	 -30.541	 210.177	  30.398
   558	 -30.926	 210.490	  30.333
   559	 -31.301	 210.822	  30.330
   560	 -31.682	 211.149	  30.355
   561	 -32.065	 211.472	  30.387
   562	 -32.461	 211.778	  30.388
   563	 -32.880	 212.058	  30.354
   564	 -33.321	 212.298	  30.342
   565	 -33.781	 212.496	  30.366
   566	 -34.236	 212.683	  30.459
   567	 -34.686	 212.872	  30.571
   568	 -35.122	 213.088	  30.687
   569	 -35.547	 213.326	  30.804
   570	 -35.964	 213.581	  30.923
   571	 -36.389	 213.817	  31.047
   572	 -36.841	 213.983	  31.175
   573	 -37.312	 214.090	  31.312
   574	 -37.786	 214.184	  31.456
   575	 -38.249	 214.304	  31.607
   576	 -38.707	 214.447	  31.750
   577	 -39.168	 214.587	  31.889
   578	 -39.628	 214.746	  32.020
   579	 -40.076	 214.912	  32.186
   580	 -40.511	 215.095	  32.367
   581	 -40.941	 215.289	  32.552
   582	 -41.373	 215.485	  32.723
   583	 -41.800	 215.665	  32.914
   584	 -42.232	 215.823	  33.112
   585	 -42.677	 215.974	  33.290
   586	 -43.118	 216.123	  33.478
   587	 -43.552	 216.305	  33.648
   588	 -43.946	 216.538	  33.846
   589	 -44.322	 216.815	  34.028
   590	 -44.688	 217.100	  34.219
   591	 -45.075	 217.358	  34.405
   592	 -45.479	 217.586	  34.609
   593	 -45.880	 217.842	  34.770
   594	 -46.254	 218.148	  34.884
   595	 -46.585	 218.522	  34.955
   596	 -46.869	 218.936	  35.038
   597	 -47.111	 219.378	  35.121
   598	 -47.324	 219.836	  35.204
   599	 -47.538	 220.293	  35.282
   600	 -47.798	 220.715	  35.358
   601	 -48.115	 221.091	  35.439
   602	 -48.486	 221.413	  35.529
   603	 -48.880	 221.706	  35.625
   604	 -49.288	 221.979	  35.722
   605	 -49.722	 222.221	  35.806
   606	 -50.163	 222.459	  35.886
   607	 -50.584	 222.718	  35.976
   608	 -50.962	 223.021	  36.100
   609	 -51.315	 223.335	  36.271
   610	 -51.653	 223.654	  36.466
   611	 -51.970	 223.990	  36.660
   612	 -52.261	 224.365	  36.817
   613	 -52.524	 224.784	  36.918
   614	 -52.769	 225.228	  36.981
   615	 -53.000	 225.682	  37.034
   616	 -53.246	 226.117	  37.100
   617	 -53.514	 226.530	  37.191
   618	 -53.822	 226.900	  37.320
   619	 -54.185	 227.200	  37.516
   620	 -54.556	 227.490	  37.720
   621	 -54.904	 227.808	  37.899
   622	 -55.208	 228.180	  38.039
   623	 -55.507	 228.558	  38.171
   624	 -55.816	 228.927	  38.308
   625	 -56.137	 229.285	  38.447
   626	 -56.476	 229.599	  38.646
   627	 -56.827	 229.879	  38.889
   628	 -57.213	 230.087	  39.176
   629	 -57.601	 230.306	  39.429
   630	 -57.991	 230.533	  39.663
